Tracks,ProcessingTimeLimitSecs,ProcessingTimeAvgSecs,ProcessingTimeMinSecs,ProcessingTimeMaxSecs,CPUPer,DeltaUserCPUTimeSecs,DeltaKernelCPUTimeSecs,DeltaWallTimeSecs,ResidentMemoryMB,BuffSize,SampleRate,BitDepth,Success
1,0.000667,0.000026,0.000019,0.000407,0.956169,0.062552,0.004681,0.070315,11.235328,64,96000,32,true
2,0.000667,0.000037,0.000028,0.000341,1.054275,0.034524,0.001470,0.034141,14.258176,64,96000,32,true
3,0.000667,0.000053,0.000036,0.000347,1.079764,0.035365,0.001469,0.034113,17.309696,64,96000,32,true
4,0.000667,0.000066,0.000059,0.000425,1.091536,0.035768,0.001449,0.034096,20.353024,64,96000,32,true
5,0.000667,0.000085,0.000338,0.000913,1.102694,0.037704,0.001553,0.035601,23.392256,64,96000,32,true
6,0.000667,0.000084,0.000075,0.000414,1.127397,0.037278,0.001235,0.034161,26.435584,64,96000,32,true
7,0.000667,0.000106,0.000095,0.000435,1.152945,0.037861,0.001519,0.034156,29.503488,64,96000,32,true
8,0.000667,0.000114,0.000098,0.000456,1.165101,0.038322,0.001486,0.034167,32.550912,64,96000,32,true
9,0.000667,0.000122,0.000119,0.000454,1.177617,0.038751,0.001414,0.034107,35.631104,64,96000,32,true
10,0.000667,0.000136,0.000126,0.000473,1.200463,0.039335,0.001656,0.034146,38.694912,64,96000,32,true
11,0.000667,0.000141,0.000126,0.000449,1.189529,0.039474,0.001196,0.034190,41.750528,64,96000,32,true
12,0.000667,0.000152,0.000279,0.000521,1.201815,0.040161,0.001417,0.034596,44.818432,64,96000,32,true
13,0.000667,0.000169,0.000170,0.000503,1.249474,0.041491,0.001276,0.034228,47.878144,64,96000,32,true
14,0.000667,0.000183,0.000156,0.000559,1.265008,0.041892,0.001432,0.034248,50.925568,64,96000,32,true
15,0.000667,0.000188,0.000326,0.000590,1.249456,0.042564,0.001638,0.035377,53.972992,64,96000,32,true
16,0.000667,0.000191,0.000162,0.000569,1.286174,0.042696,0.001241,0.034161,57.024512,64,96000,32,true
17,0.000667,0.000219,0.000221,0.000616,1.321566,0.043663,0.001561,0.034220,60.100608,64,96000,32,true
18,0.000667,0.000244,0.000279,0.000631,1.352507,0.045246,0.001264,0.034388,63.164416,64,96000,32,true
19,0.000667,0.000252,0.000246,0.000633,1.365063,0.045391,0.001417,0.034290,66.215936,64,96000,32,true
20,0.000667,0.000274,0.000220,0.000652,1.396584,0.046417,0.001497,0.034308,69.287936,64,96000,32,true
21,0.000667,0.000266,0.000230,0.000678,1.375963,0.046749,0.001495,0.035062,72.331264,64,96000,32,true
22,0.000667,0.000270,0.000266,0.000643,1.388246,0.046234,0.001362,0.034285,75.374592,64,96000,32,true
23,0.000667,0.000298,0.000302,0.000650,1.421513,0.048386,0.001529,0.035114,78.442496,64,96000,32,true
24,0.000667,0.000287,0.000278,0.000672,1.410276,0.048203,0.001285,0.035091,81.498112,64,96000,32,true
25,0.000667,0.000333,0.000301,0.000807,1.454651,0.050851,0.001611,0.036065,84.553728,64,96000,32,true
